permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/peecho,Peecho,http://www.peecho.com,3D|Cloud Computing|E-Commerce|Enterprise Software|Finance|Mass Customization|Photography|Printing,1511971,operating,NLD,7,Amsterdam,Amsterdam,2,2009-11-18,2012-01-19,2015-03-28
/organization/peek-com,Peek,http://peek.com,Curated Web|E-Commerce|Internet|Marketplaces|Mobile|Network Security|SaaS|Tourism|Travel,6900000,operating,USA,CA,SF Bay Area,San Francisco,3,2012-01-01,2012-01-01,2013-11-04
/organization/peek-kids,Peek Kids,http://peekkids.com,E-Commerce,20300000,operating,USA,CA,SF Bay Area,San Francisco,2,2006-01-01,2009-04-07,2015-05-20
/organization/peekabuy-inc,"Peekabuy, Inc.",http://peekabuy.com,E-Commerce|Image Recognition|Mobile,-,operating,USA,CA,SF Bay Area,San Mateo,2,,2013-05-01,2014-01-01
/organization/peekapak,Peekapak,http://www.peekapak.com,E-Books|E-Commerce|Education|Teachers,150000,operating,USA,CA,SF Bay Area,San Francisco,1,2014-03-01,2014-07-28,2014-07-28
/organization/peela,Peela,http://www.peela.com.br,E-Commerce|Games|Gift Card|Services,-,operating,BRA,2,Sao Paulo,São Paulo,2,2010-09-01,2011-03-01,2012-06-01
/organization/peer39,Peer39,http://www.sizmek.com,Advertising,29915001,acquired,USA,NY,New York City,New York,7,2006-03-01,2006-03-01,2012-01-24
/organization/peeractive,Peeractive,http://www.peeractive.com,E-Commerce,1135000,operating,USA,NY,New York City,New York,1,2012-01-01,2013-03-29,2013-03-29
/organization/peerflix,Peerflix,http://peerflix.com,Advertising|Entertainment,10000000,acquired,USA,CA,SF Bay Area,Palo Alto,2,,2005-03-01,2005-10-01
/organization/penboutique,PenBoutique,http://www.penboutique.com,E-Commerce,-,operating,USA,MD,Baltimore,Columbia,1,2004-01-01,2004-01-01,2004-01-01
/organization/pennant,Pennant,http://pennant.co,Advertising,50000,operating,,,,,1,,2013-04-01,2013-04-01
/organization/penny-auction-solutions,Penny Auction Solutions,http://www.pennyauctionsolutions.com,E-Commerce,10000000,operating,USA,CA,San Diego,San Diego,1,,2010-09-16,2010-09-16
/organization/penpath,PenPath,http://PenPath.com,Advertising|Analytics|Curated Web|Publishing,50000,operating,USA,MO,St. Louis,St Louis,1,2013-02-16,2014-01-01,2014-01-01
/organization/people-sports,People Sports - Never Empty,http://www.neveremptyapp.com,E-Commerce,1350000,operating,ESP,29,Madrid,Madrid,2,2013-01-01,2013-10-16,2015-01-01
