permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/bitpay,BitPay,http://bitpay.com,Bitcoin|Finance,32510000,operating,USA,GA,Atlanta,Atlanta,3,2011-05-01,2013-01-07,2014-05-13
/organization/bitspark,Bitspark,https://bitspark.io/,Bitcoin|Finance|FinTech|Payments,41250,operating,HKG,,Hong Kong,Hong Kong,1,2014-04-01,2014-07-01,2014-07-01
/organization/bitt,Bitt,https://www.bitt.com/home,Bitcoin|Finance Technology|Virtual Currency,1500000,operating,BRB,1,BRB - Other,Hastings,1,,2015-03-30,2015-03-30
/organization/bitvault,Gem,http://gem.co,Bitcoin|Finance Technology|Security|Software,4900000,operating,USA,CA,Los Angeles,Venice,4,2014-01-22,2014-01-21,2015-04-02
/organization/biz2credit,Biz2Credit,http://www.biz2credit.com,Finance,250000000,operating,USA,NY,New York City,New York,1,2007-01-01,2014-12-29,2014-12-29
/organization/bizbashfunding,BizBashFunding,,Finance|Venture Capital,-,operating,USA,NV,Las Vegas,Las Vegas,1,2015-01-01,2015-01-26,2015-01-26
/organization/bizequity,BizEquity,http://www.bizequity.com,Business Services|Enterprise Software|Finance|FinTech|Local Businesses|Small and Medium Businesses,5100000,operating,USA,PA,Philadelphia,Wayne,1,2010-06-01,2014-10-10,2014-10-10
/organization/bizeso-services-private-limited,Bizeso Services Private Limited,http://www.bizeso.com,Advertising|Art|Audio|Blogging Platforms|Business Development|Chat|Entertainment|Events|Finance|Forums|Franchises|Human Resources|Legal|News|Photography|Social Media|Video,-,operating,IND,7,New Delhi,New Delhi,1,2011-07-28,2011-09-25,2011-09-25
/organization/bizfi,Bizfi,http://merchantcashandcapital.com,Finance,75000000,operating,,,,,1,2005-05-01,2014-03-17,2014-03-17
/organization/bizfunding511-com,Bizfunding511.com,http://www.bizfunding511.com/,Finance|Venture Capital,-,operating,USA,NE,Omaha,Omaha,1,2012-01-01,2014-12-03,2014-12-03
/organization/bizible,Bizible,http://bizible.com,Analytics|Finance|Startups,10548000,operating,USA,WA,Seattle,Seattle,4,2011-02-01,2011-09-01,2014-08-26
/organization/blockchain-info,Blockchain,http://blockchain.com/,Banking|Bitcoin|Finance|Finance Technology|FinTech,30000000,operating,,,,,1,2011-08-01,2014-10-07,2014-10-07
/organization/blocktrace,Everledger,http://everledger.io,Finance|Insurance|Tracking,118000,operating,GBR,H9,London,London,1,2015-04-10,2015-03-23,2015-03-23
/organization/bloom-capital,Bloom Capital,http://www.bloom-capital.com,Finance|FinTech,50000000,operating,,,,,1,2006-04-30,2006-04-30,2006-04-30
/organization/blooom,Blooom,http://www.blooom.com,Finance|Investment Management,4000000,operating,USA,KS,Kansas City,Leawood,1,2013-01-01,2015-10-15,2015-10-15
/organization/bluebox-now,Bluebox Now!,http://www.blueboxnow.com,Finance|FinTech|Games|Incentives|Loyalty Programs,-,closed,USA,WA,Seattle,Seattle,1,2011-08-08,2011-11-01,2011-11-01
