permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/stage-32,Stage 32,http://www.stage32.com,EdTech|Education|Entertainment Industry|Film|Professional Networking|Social Network Media|Television|Theatre,250000,operating,USA,CA,Los Angeles,Los Angeles,1,2011-09-15,2011-09-15,2011-09-15
/organization/standardnine,StandardNine,http://www.standardnine.com/index.html,Education,6016903,closed,USA,CA,SF Bay Area,San Francisco,2,2009-01-01,2009-01-01,2011-04-05
/organization/starfish-retention-solutions,Starfish Retention Solutions,http://www.starfishsolutions.com/,Education|Enterprises|SaaS,4089700,acquired,USA,VA,"Washington, D.C.",Arlington,2,2007-01-01,2008-07-10,2011-02-16
/organization/starline,Starline,http://www.starlinetecnologia.com.br,EdTech|Education|High Schools|Software|Technology|Universities,-,operating,BRA,15,Rio de Janeiro,Belo Horizonte,1,,2011-01-01,2011-01-01
/organization/startspanish,StartSpanish,http://www.startspanish.com,Education|Language Learning,440000,operating,USA,CA,San Diego,San Diego,2,2012-12-01,2011-01-01,2013-12-13
/organization/startup-institute,Startup Institute,http://www.startupinstitute.com/,Education|Professional Services|Startups,4300000,operating,USA,MA,Boston,Boston,2,2012-02-01,2014-01-14,2014-09-15
/organization/startup-quest,Startup Quest,http://www.StartupQuest.com,Automotive|Education|Entrepreneur|Finance|Incubators|Startups,100000,operating,USA,CO,Denver,Boulder,1,2012-05-17,2012-10-20,2012-10-20
/organization/stealth-education-startup,brightwheel,http://www.mybrightwheel.com,Education,2200000,operating,USA,CA,SF Bay Area,San Francisco,1,2014-01-01,2015-06-17,2015-06-17
/organization/stempowerkids,STEMpowerkids,http://www.stempowerkids.com/,Education,25000,operating,USA,IL,IL - Other,Ohio,1,2013-01-01,2014-05-27,2014-05-27
/organization/stepping-stories,Stepping Stories,https://steppingstories.com/,K-12 Education|Parenting|SaaS,125000,operating,,,,,1,,2014-05-14,2014-05-14
/organization/sterio-me,Sterio.me,http://sterio.me/,Education|Mobile|Telecommunications|Ventures for Good,55063,operating,CHL,12,Santiago,Santiago,2,2013-01-01,2014-06-01,2014-11-12
/organization/stormwind,StormWind,http://stormwind.com,EdTech|Education,9705000,operating,USA,AZ,Phoenix,Scottsdale,3,2008-01-01,2009-07-17,2014-01-21
/organization/story-to-college,Story2,http://story2.com/,Education,620000,operating,USA,NY,New York City,New York,2,2013-01-01,2014-07-24,2015-07-01
/organization/storybird,Storybird,http://storybird.com,Curated Web|Education|Games|Media|Publishing,2500000,operating,USA,NY,New York City,Brooklyn,1,2009-01-01,2013-08-01,2013-08-01
/organization/storypanda,Storypanda,http://www.storypanda.com,Education|Games|iPad|Kids,-,operating,USA,CA,SF Bay Area,Mountain View,1,2011-04-01,2012-02-09,2012-02-09
/organization/straight-up-english,Straight Up English,http://straightupenglish.com,EdTech|Education,-,closed,USA,DC,"Washington, D.C.",Washington,1,,2009-08-01,2009-08-01
/organization/straighterline,StraighterLine,http://www.StraighterLine.com,Education,16000000,operating,USA,MD,Baltimore,Baltimore,1,2010-01-01,2012-04-13,2012-04-13
/organization/streaming-era,Streaming Era,http://www.streamingera.com,Education|Enterprise Software,205000,operating,ISR,5,Tel Aviv,Holon,3,2011-07-10,2009-03-10,2011-07-15
/organization/stucomm,Stucomm,http://www.stucomm.com/,Education|Information Services|Mobile,16390,operating,NLD,9,Utrecht,Utrecht,1,,2015-04-04,2015-04-04
/organization/studdex,studdex,http://www.studdex.com,All Students|Education|Universities,279876,operating,,,,,1,2008-05-01,2008-05-01,2008-05-01
/organization/student-loan-hero,Student Loan Hero,http://studentloanhero.com,Education|Finance,65000,operating,USA,NY,New York City,New York,2,2012-04-01,2012-08-22,2013-02-08
/organization/studentbox,Studentbox,http://www.studentbox.com,All Students|Education|Sales and Marketing|Social Network Media,-,operating,GBR,H9,London,London,1,2008-01-01,2008-09-07,2008-09-07
/organization/studentconnect,StudentConnect,http://www.studentconnect.co,Education,48000,operating,,,,,1,2014-03-01,2014-09-08,2014-09-08
/organization/studentsn,studentSN,http://www.studentsn.com,All Students|Document Management|Education|Social Network Media,802100,closed,,,,,2,2007-07-01,2008-02-01,2008-12-01
/organization/studiekring,Studiekring,http://www.studiekring.nl,Education,-,operating,NLD,9,Utrecht,Utrecht,1,2002-01-01,2011-08-26,2011-08-26
/organization/study-plus,Study Plus,http://studyplus.jp/,Apps|Education,2247131,operating,JPN,19,Tokyo,Shibuya,2,2010-05-01,2013-05-22,2015-05-08
/organization/study2gether,Study2gether,http://www.study2gether.es,Education|High Schools,326300,operating,ESP,29,Madrid,Madrid,1,,2013-04-13,2013-04-13
/organization/studyapps,StudyApps,http://studyapps.ru/,Education,200000,closed,RUS,,,,1,,2012-12-21,2012-12-21
/organization/studyblue,StudyBlue,http://www.studyblue.com,Education|File Sharing|High School Students,22353939,operating,USA,CA,SF Bay Area,San Francisco,7,2009-01-01,2009-06-30,2014-12-09
/organization/studycloud,StudyCloud,http://www.mystudycloud.com,Collaboration|Education|Software,110000,operating,USA,IL,Chicago,Chicago,1,2010-07-01,2013-08-12,2013-08-12
/organization/studydrive-net,Studydrive,http://www.studydrive.com,Education|Startups,-,operating,,,,,1,2013-04-14,2015-06-18,2015-06-18
/organization/studyedge,StudyEdge,http://www.studyedge.com,E-Books|Education|Internet,-,operating,USA,FL,Gainesville,Gainesville,1,,2012-10-04,2012-10-04
/organization/studyegg,StudyEgg,http://www.studyegg.com,Education,-,operating,USA,RI,Providence,Providence,1,2010-12-01,2011-09-09,2011-09-09
/organization/studyinbudapest-mobile-app,STUDYINBUDAPEST MOBILE APP,http://www.studyinbudapest.com,Apps|Education|Mobile|Services,40000,operating,,,,,1,2015-01-01,2015-08-01,2015-08-01
/organization/studying-to,Studying.to,http://www.studying.to,College Recruiting|Education|Internet Marketing|Universities|University Students,-,operating,,,,,1,,2014-11-27,2014-11-27
/organization/studymax,StudyMax,http://www.speakingmax.com,Education,1584717,operating,KOR,11,Seoul,Seoul,2,2008-07-02,2010-01-01,2012-05-01
/organization/studyonboard,StudyOnBoard,http://www.studyonboard.com,Collaboration|Education,40000,operating,USA,TX,Austin,College Station,1,2013-01-28,2014-01-15,2014-01-15
/organization/studyplaces,Studyplaces,http://www.studyplaces.com,Education,3000000,acquired,USA,CA,CA - Other,Lucerne Valley,1,2007-05-25,2008-01-01,2008-01-01
/organization/studyroom,StudyRoom,http://www.getstudyroom.com,Education|Social Media Platforms|Universities|University Students,-,operating,,,,,1,2012-06-15,2012-10-29,2012-10-29
/organization/studysoup,StudySoup,http://studysoup.com,Content|Education|Publishing|Universities,100000,operating,USA,CA,SF Bay Area,San Francisco,1,2012-03-20,2014-08-01,2014-08-01
/organization/studytube,StudyTube,http://www.studytube.nl,EdTech|Education|SaaS,1977372,operating,NLD,7,Amsterdam,Amsterdam,2,2010-01-01,2013-02-02,2014-09-15
/organization/stukent,Stukent,http://stukent.com,All Students|Education|Internet Marketing,275000,operating,USA,ID,ID - Other,Hagerman,1,,2014-02-09,2014-02-09
/organization/subtext,Subtext,http://subtext.com,Education,3000000,acquired,USA,CA,SF Bay Area,Mountain View,1,,2011-10-24,2011-10-24
/organization/success-academy-charter-schools,Success Academy Charter Schools,http://successacademies.org,Education,13500000,operating,USA,NY,New York City,New York,2,2006-01-01,2013-08-30,2015-07-31
/organization/sudiksha,Sudiksha,http://sudiksha.in,Education,285000,operating,IND,2,Hyderabad,Hyderabad,2,,2013-11-27,2014-07-02
/organization/sumomi,Sumomi,http://www.sumomi.com,Charter Schools|Education|Parenting,40000,operating,,,,,1,,2012-08-09,2012-08-09
/organization/super,Super,http://super.cn,Education,-,operating,CHN,5,Guangdong,Guangdong,2,,2013-11-01,2014-08-22
/organization/superclass,Superclass,http://www.cjkt.com/,Education,-,operating,,,,,1,2008-01-01,2011-06-30,2011-06-30
/organization/supercool-school,Supercool School,http://www.supercoolschool.com,Education,100000,closed,USA,CA,SF Bay Area,San Francisco,1,2009-01-01,2008-01-01,2008-01-01
/organization/superprofs,SuperProfs,http://www.superprofs.com,Education,3000000,operating,IND,19,Bangalore,Bangalore,2,2010-07-15,2012-09-15,2014-12-29
/organization/sure2sign-recruiting,Sure2Sign Recruiting,http://www.sure2sign.com,Colleges|E-Commerce|Education|High Schools|Recruiting|Sports|Video,20000,operating,USA,TX,San Antonio,San Antonio,1,2010-01-01,2010-01-01,2010-01-01
/organization/surgery-academy,Surgery Academy,http://surgeryacade.my,3D Technology|Augmented Reality|Education|Health Care,73964,operating,ITA,9,Milan,Milan,2,2013-06-25,2014-07-31,2015-07-15
/organization/surpriseride,Surprise Ride,http://www.surpriseride.com,Curated Web|Educational Games|Subscription Businesses,2100000,operating,USA,DC,"Washington, D.C.",Washington,2,2012-10-01,2013-02-01,2015-01-26
